City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
esperance,-33.8667,121.9,54.43,72,99,19.71,AU,1665434778
necochea,-38.5473,-58.7368,59.41,53,22,18.16,AR,1665435259
svelgen,61.7685,5.2955,47.39,79,99,15.99,NO,1665435373
matara,5.9485,80.5353,76.64,89,100,6.87,LK,1665435373
thompson,55.7435,-97.8558,69.96,37,20,13.8,CA,1665435373
lorengau,-2.0226,147.2712,80.56,67,78,6.13,PG,1665435373
nelson bay,-32.7167,152.15,63,76,100,11.99,AU,1665435374
fairbanks,64.8378,-147.7164,33.22,87,40,0,US,1665435376
bykovo,55.6361,38.0803,45.41,87,0,6.71,RU,1665435377
georgetown,5.4112,100.3354,81.23,87,20,2.3,MY,1665434778
mahebourg,-20.4081,57.7,71.89,78,40,6.91,MU,1665435379
grand gaube,-20.0064,57.6608,72,73,14,4,MU,1665435309
macapa,0.0389,-51.0664,89.58,62,40,11.5,BR,1665435380
chuy,-33.6971,-53.4616,54.23,62,6,8.12,UY,1665435381
lerwick,60.1545,-1.1494,48.2,64,100,26.24,GB,1665435381
strelka,58.0728,93.0344,43.93,88,100,10,RU,1665435382
mega,4.05,38.3,65.75,48,78,14.09,ET,1665435383
chapais,49.7834,-74.8492,38.98,86,100,10,CA,1665435384
saldanha,-33.0117,17.9442,68.05,78,100,10.94,ZA,1665434853
tiznit,29.5833,-9.5,64.96,75,5,3.67,MA,1665435386
avera,33.194,-82.5271,78.31,47,49,4.99,US,1665435387
srednekolymsk,67.45,153.6833,16.32,95,73,9.33,RU,1665435388
rio grande,-32.035,-52.0986,59.11,64,100,12.24,BR,1665435226
la ronge,55.1001,-105.2842,73.65,23,40,12.66,CA,1665435390
port elizabeth,-33.918,25.5701,66.49,94,0,12.66,ZA,1665434855
lavrentiya,65.5833,-171,26.69,60,2,7.94,RU,1665435270
amapa,1,-52,81.46,60,89,2.55,BR,1665435392
saint-joseph,-21.3667,55.6167,70.18,80,24,8.34,RE,1665435394
richha,28.7,79.5167,66.96,95,6,5.1,IN,1665435395
isangel,-19.55,169.2667,75.31,73,100,6.91,VU,1665435396
mar del plata,-38.0023,-57.5575,53.94,75,0,18.99,AR,1665434857
raudeberg,61.9875,5.1352,47.07,22,69,27.69,NO,1665435397
kawalu,-7.3817,108.2082,71.01,98,100,1.19,ID,1665435398
hurghada,27.2574,33.8129,76.24,55,0,15.9,EG,1665435398
cidreira,-30.1811,-50.2056,57.56,86,100,17.22,BR,1665435404
galle,6.0367,80.217,77.4,87,94,6.67,LK,1665435405
bambanglipuro,-7.95,110.2833,76.15,90,100,3.87,ID,1665435405
atikokan,48.7555,-91.6216,59.29,42,29,9.08,CA,1665435405
ostrovnoy,68.0531,39.5131,39.54,92,80,11.25,RU,1665434877
faya,18.3851,42.4509,64.92,31,8,7.34,SA,1665435406
aklavik,68.2191,-135.0107,32.47,85,100,16.51,CA,1665435406
whitehorse,60.7161,-135.0538,44.02,57,75,0,CA,1665435406
melfi,40.9965,15.6514,57.13,93,91,3.6,IT,1665435407
ouadda,8.0777,22.4007,67.8,93,100,1.34,CF,1665435407
namibe,-15.1961,12.1522,67.8,86,42,9.73,AO,1665435407
dayong,25.0209,118.2898,58.66,70,4,4.54,CN,1665435407
abay,49.6311,72.8539,32.38,60,11,6.69,KZ,1665435408
townsville,-19.25,146.8,74.28,78,40,11.5,AU,1665435408
yumen,40.2833,97.2,42.15,18,34,1.95,CN,1665435408
nome,64.5011,-165.4064,30.27,80,100,3.44,US,1665435261
afsin,38.2477,36.914,54.3,63,5,2.24,TR,1665435411
